[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51906 	 time: 	 2.7090 	 chachingFFE: 	 1186321	 chachingPop: 	 741773	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 51991 	 time: 	 2.7513 	 chachingFFE: 	 1205024	 chachingPop: 	 752985	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52061 	 time: 	 2.8005 	 chachingFFE: 	 1223647	 chachingPop: 	 764292	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52132 	 time: 	 2.8464 	 chachingFFE: 	 1242192	 chachingPop: 	 775676	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52197 	 time: 	 2.8881 	 chachingFFE: 	 1260773	 chachingPop: 	 787030	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52264 	 time: 	 2.9359 	 chachingFFE: 	 1279595	 chachingPop: 	 798141	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52323 	 time: 	 2.9800 	 chachingFFE: 	 1298366	 chachingPop: 	 809311	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52364 	 time: 	 3.0231 	 chachingFFE: 	 1316866	 chachingPop: 	 820770	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52404 	 time: 	 3.0659 	 chachingFFE: 	 1335460	 chachingPop: 	 832136	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52459 	 time: 	 3.1064 	 chachingFFE: 	 1354005	 chachingPop: 	 843536	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52515 	 time: 	 3.1519 	 chachingFFE: 	 1372654	 chachingPop: 	 854831	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52589 	 time: 	 3.1953 	 chachingFFE: 	 1391357	 chachingPop: 	 866054	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52658 	 time: 	 3.2386 	 chachingFFE: 	 1410157	 chachingPop: 	 877185	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52707 	 time: 	 3.2829 	 chachingFFE: 	 1428887	 chachingPop: 	 888406	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52776 	 time: 	 3.3259 	 chachingFFE: 	 1447388	 chachingPop: 	 899836	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52849 	 time: 	 3.3665 	 chachingFFE: 	 1466171	 chachingPop: 	 910980	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 52934 	 time: 	 3.4073 	 chachingFFE: 	 1485045	 chachingPop: 	 922021	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53020 	 time: 	 3.4501 	 chachingFFE: 	 1503950	 chachingPop: 	 933030	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53087 	 time: 	 3.4921 	 chachingFFE: 	 1522794	 chachingPop: 	 944119	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53174 	 time: 	 3.5390 	 chachingFFE: 	 1541474	 chachingPop: 	 955352	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53249 	 time: 	 3.5867 	 chachingFFE: 	 1560337	 chachingPop: 	 966414	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53314 	 time: 	 3.6239 	 chachingFFE: 	 1579200	 chachingPop: 	 977486	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53398 	 time: 	 3.6666 	 chachingFFE: 	 1597925	 chachingPop: 	 988677	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53469 	 time: 	 3.7085 	 chachingFFE: 	 1616655	 chachingPop: 	 999876	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53518 	 time: 	 3.7548 	 chachingFFE: 	 1635540	 chachingPop: 	 1010942	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53572 	 time: 	 3.8006 	 chachingFFE: 	 1654261	 chachingPop: 	 1022167	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53668 	 time: 	 3.8485 	 chachingFFE: 	 1672986	 chachingPop: 	 1033346	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53771 	 time: 	 3.8890 	 chachingFFE: 	 1691813	 chachingPop: 	 1044416	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53854 	 time: 	 3.9328 	 chachingFFE: 	 1710852	 chachingPop: 	 1055294	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 53938 	 time: 	 3.9716 	 chachingFFE: 	 1729609	 chachingPop: 	 1066453	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54037 	 time: 	 4.0173 	 chachingFFE: 	 1748248	 chachingPop: 	 1077715	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54137 	 time: 	 4.0540 	 chachingFFE: 	 1767101	 chachingPop: 	 1088762	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54223 	 time: 	 4.0983 	 chachingFFE: 	 1785994	 chachingPop: 	 1099783	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54313 	 time: 	 4.1423 	 chachingFFE: 	 1804849	 chachingPop: 	 1110838	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54365 	 time: 	 4.1878 	 chachingFFE: 	 1823457	 chachingPop: 	 1122178	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54425 	 time: 	 4.2307 	 chachingFFE: 	 1842061	 chachingPop: 	 1133514	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54469 	 time: 	 4.2764 	 chachingFFE: 	 1860469	 chachingPop: 	 1145062	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54521 	 time: 	 4.3233 	 chachingFFE: 	 1879146	 chachingPop: 	 1156333	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54566 	 time: 	 4.3657 	 chachingFFE: 	 1897800	 chachingPop: 	 1167634	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54609 	 time: 	 4.4110 	 chachingFFE: 	 1916209	 chachingPop: 	 1179182	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54660 	 time: 	 4.4558 	 chachingFFE: 	 1934922	 chachingPop: 	 1190418	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54697 	 time: 	 4.5026 	 chachingFFE: 	 1953651	 chachingPop: 	 1201652	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54741 	 time: 	 4.5429 	 chachingFFE: 	 1972229	 chachingPop: 	 1213030	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54792 	 time: 	 4.5874 	 chachingFFE: 	 1990925	 chachingPop: 	 1224283	NoFFEiter:	 0
[PRW LOG] best fitness: 	 7.00000000 	 ffe: 	 54849 	 time: 	 4.6269 	 chachingFFE: 	 2009699	 chachingPop: 	 1235452	NoFFEiter:	 0
